F_PU10,F_PU11,L_T6,L_T7,P_J307,P_J317,S_PU10,S_PU11,ATTACK_FLAG
31.31,0.0,5.48,3.23,22.13,67.78,1.0,0.0,0
30.67,0.0,5.5,3.38,22.0,69.81,1.0,0.0,0
30.61,0.0,5.5,3.59,21.67,69.67,1.0,0.0,0
30.42,0.0,5.5,3.74,21.69,70.34,1.0,0.0,0
31.92,0.0,5.5,4.11,28.63,72.17,1.0,0.0,0
31.48,0.0,5.5,4.47,26.13,71.22,1.0,0.0,0
31.45,0.0,5.5,4.67,26.14,71.3,1.0,0.0,0
29.8,0.0,5.5,4.76,18.12,68.75,1.0,0.0,0
29.57,0.0,5.5,4.53,17.98,69.34,1.0,0.0,0
29.53,0.0,5.5,4.5,17.62,69.13,1.0,0.0,0
29.64,0.0,5.5,4.44,17.3,68.44,1.0,0.0,0
29.53,0.0,5.5,4.22,17.61,69.1,1.0,0.0,0
29.59,0.0,5.5,4.25,19.04,70.36,1.0,0.0,0
29.21,0.0,5.5,4.49,19.1,71.6,1.0,0.0,0
0.0,0.0,5.39,4.26,24.84,58.51,0.0,0.0,0
0.0,0.0,5.04,2.71,28.44,59.14,0.0,0.0,0
31.76,0.0,5.24,3.14,25.87,69.96,1.0,0.0,0
29.92,0.0,5.5,3.75,26.54,76.81,1.0,0.0,0
0.0,0.0,5.5,4.98,30.35,61.72,0.0,0.0,0
0.0,0.0,5.31,4.1,30.3,59.19,0.0,0.0,0
0.0,0.0,4.99,2.74,26.4,58.2,0.0,0.0,0
30.48,0.0,5.13,2.86,20.03,68.46,1.0,0.0,0
30.5,0.0,5.38,3.25,19.72,68.08,1.0,0.0,0
29.57,0.0,5.5,3.52,19.85,71.23,1.0,0.0,0
29.99,0.0,5.5,4.04,19.91,69.95,1.0,0.0,0
29.87,0.0,5.5,4.21,20.08,70.5,1.0,0.0,0
32.13,0.0,5.5,4.55,26.28,69.11,1.0,0.0,0
29.71,0.0,5.5,4.22,26.59,77.55,1.0,0.0,0
0.0,0.0,5.37,4.22,29.6,58.96,0.0,0.0,0
0.0,0.0,5.05,2.78,30.11,54.65,0.0,0.0,0
30.88,0.0,5.03,2.21,20.14,67.24,1.0,0.0,0
30.8,0.0,5.21,2.36,20.09,67.46,1.0,0.0,0
30.87,0.0,5.39,2.54,20.26,67.41,1.0,0.0,0
30.23,0.0,5.5,2.71,20.68,69.95,1.0,0.0,0
30.79,0.0,5.5,3.1,20.65,68.08,1.0,0.0,0
31.03,0.0,5.5,3.0,21.1,67.73,1.0,0.0,0
32.49,0.0,5.5,2.9,28.84,70.39,1.0,0.0,0
32.62,0.0,5.5,3.14,29.02,70.07,1.0,0.0,0
32.44,0.0,5.5,3.27,30.14,71.84,1.0,0.0,0
29.64,0.0,5.5,3.63,23.2,74.34,1.0,0.0,0
29.33,0.0,5.5,4.58,22.09,74.2,1.0,0.0,0
0.0,0.0,5.28,3.77,28.03,59.88,0.0,0.0,0
0.0,0.0,5.0,2.68,28.56,59.15,0.0,0.0,0
32.1,0.0,5.26,3.27,29.19,72.11,1.0,0.0,0
30.51,0.0,5.5,4.36,28.86,77.19,1.0,0.0,0
0.0,0.0,5.37,4.33,31.79,58.92,0.0,0.0,0
0.0,0.0,5.04,2.86,31.75,56.93,0.0,0.0,0
31.43,0.0,5.15,2.77,21.22,66.48,1.0,0.0,0
31.27,0.0,5.2,2.4,21.4,67.2,1.0,0.0,0
31.17,0.0,5.36,2.43,21.44,67.57,1.0,0.0,0
30.96,0.0,5.5,2.61,21.55,68.4,1.0,0.0,0
29.9,0.0,5.5,2.67,21.39,71.72,1.0,0.0,0
30.72,0.0,5.5,3.37,21.48,69.13,1.0,0.0,0
30.42,0.0,5.5,3.45,21.47,70.09,1.0,0.0,0
31.91,0.0,5.5,3.82,28.12,71.69,1.0,0.0,0
31.88,0.0,5.5,4.17,30.28,73.97,1.0,0.0,0
0.0,0.0,5.48,4.71,34.34,57.68,0.0,0.0,0
0.0,0.0,5.09,2.9,29.66,56.65,0.0,0.0,0
31.47,0.0,5.17,2.71,22.29,67.39,1.0,0.0,0
31.43,0.0,5.33,2.7,21.67,66.93,1.0,0.0,0
31.34,0.0,5.43,2.52,21.75,67.32,1.0,0.0,0
31.09,0.0,5.5,2.62,21.81,68.22,1.0,0.0,0
30.99,0.0,5.5,2.62,21.98,68.71,1.0,0.0,0
29.41,0.0,5.5,2.72,20.22,72.1,1.0,0.0,0
30.83,0.0,5.5,3.57,27.05,74.34,1.0,0.0,0
29.99,0.0,5.5,4.45,27.57,77.61,1.0,0.0,0
0.0,0.0,5.37,4.37,30.52,60.93,0.0,0.0,0
0.0,0.0,5.14,3.44,30.45,59.91,0.0,0.0,0
32.08,0.0,4.88,2.46,27.23,70.24,1.0,0.0,0
32.32,0.0,5.21,3.18,26.59,68.71,1.0,0.0,0
30.68,0.0,5.4,3.27,18.9,66.67,1.0,0.0,0
30.51,0.0,5.46,2.9,18.72,67.08,1.0,0.0,0
30.17,0.0,5.5,2.93,18.18,67.61,1.0,0.0,0
29.43,0.0,5.5,2.82,18.56,70.37,1.0,0.0,0
30.63,0.0,5.5,3.33,19.3,67.26,1.0,0.0,0
30.1,0.0,5.5,3.0,19.52,69.21,1.0,0.0,0
31.89,0.0,5.5,3.22,25.89,69.54,1.0,0.0,0
31.19,0.0,5.5,3.3,25.98,72.04,1.0,0.0,0
31.44,0.0,5.5,3.86,26.2,71.43,1.0,0.0,0
31.2,0.0,5.5,4.21,26.38,72.41,1.0,0.0,0
29.55,0.0,5.5,4.68,19.89,71.31,1.0,0.0,0
0.0,0.0,5.31,3.95,25.44,55.18,0.0,0.0,0
30.82,0.0,5.03,2.45,19.25,66.56,1.0,0.0,0
30.98,0.0,5.15,2.31,19.27,66.06,1.0,0.0,0
30.78,0.0,5.17,1.95,19.14,66.58,1.0,0.0,0
30.86,0.0,5.29,1.95,19.14,66.31,1.0,0.0,0
30.85,0.0,5.37,1.81,19.34,66.54,1.0,0.0,0
30.2,0.0,5.47,1.8,19.92,69.29,1.0,0.0,0
30.49,0.0,5.5,2.97,26.98,75.4,1.0,0.0,0
30.19,0.0,5.5,4.09,27.08,76.48,1.0,0.0,0
0.0,0.0,5.44,4.63,30.53,61.78,0.0,0.0,0
0.0,0.0,5.26,3.93,31.26,61.46,0.0,0.0,0
0.0,0.0,5.08,3.4,34.52,59.32,0.0,0.0,0
31.14,0.0,4.93,2.67,22.38,68.63,1.0,0.0,0
31.62,0.0,5.19,3.08,22.27,66.88,1.0,0.0,0
31.39,0.0,5.28,2.76,21.93,67.32,1.0,0.0,0
31.35,0.0,5.43,2.72,22.4,67.91,1.0,0.0,0
32.53,0.0,5.5,3.01,30.37,71.76,1.0,0.0,0
32.06,0.0,5.5,3.46,30.61,73.68,1.0,0.0,0
32.36,0.0,5.5,4.16,29.26,71.26,1.0,0.0,0
32.07,0.0,5.5,4.35,29.41,72.42,1.0,0.0,0
30.02,0.0,5.5,4.57,19.34,69.27,1.0,0.0,0
29.77,0.0,5.5,4.48,19.29,70.03,1.0,0.0,0
29.89,0.0,5.5,4.6,20.11,70.45,1.0,0.0,0
29.45,0.0,5.5,4.77,19.14,70.87,1.0,0.0,0
0.0,0.0,5.15,3.17,24.67,56.67,0.0,0.0,0
30.31,0.0,5.12,2.61,17.95,66.93,1.0,0.0,0
32.16,0.0,5.28,2.65,24.68,67.4,1.0,0.0,0
32.14,0.0,5.42,2.56,24.44,67.23,1.0,0.0,0
31.9,0.0,5.5,2.46,24.47,68.1,1.0,0.0,0
30.6,0.0,5.5,2.39,19.1,67.13,1.0,0.0,0
29.45,0.0,5.5,2.25,19.86,71.61,1.0,0.0,0
28.85,0.0,5.5,3.04,19.78,73.37,1.0,0.0,0
28.42,0.0,5.5,4.0,20.22,75.1,1.0,0.0,0
0.0,0.0,5.44,4.54,26.52,61.26,0.0,0.0,0
0.0,0.0,5.23,3.67,30.49,57.73,0.0,0.0,0
31.8,0.0,5.02,2.58,26.76,70.73,1.0,0.0,0
31.73,0.0,5.37,3.39,26.96,71.19,1.0,0.0,0
30.6,0.0,5.5,4.39,27.0,75.05,1.0,0.0,0
0.0,0.0,5.35,4.11,30.55,55.37,0.0,0.0,0
30.68,0.0,5.03,2.47,19.98,67.76,1.0,0.0,0
31.07,0.0,5.25,2.74,21.13,67.62,1.0,0.0,0
31.02,0.0,5.43,2.85,21.95,68.59,1.0,0.0,0
29.94,0.0,5.5,3.38,22.12,72.31,1.0,0.0,0
31.06,0.0,5.5,4.06,21.9,68.41,1.0,0.0,0
30.44,0.0,5.5,3.79,22.43,71.0,1.0,0.0,0
31.88,0.0,5.5,4.25,30.43,74.14,1.0,0.0,0
0.0,0.0,5.5,4.92,34.47,58.66,0.0,0.0,0
0.0,0.0,5.14,3.21,31.76,56.85,0.0,0.0,0
31.09,0.0,5.07,2.54,20.7,67.1,1.0,0.0,0
31.07,0.0,5.22,2.53,20.73,67.2,1.0,0.0,0
31.23,0.0,5.37,2.55,21.04,66.97,1.0,0.0,0
31.09,0.0,5.49,2.45,20.32,66.73,1.0,0.0,0
30.62,0.0,5.5,2.37,20.15,68.12,1.0,0.0,0
30.26,0.0,5.5,2.45,21.03,70.2,1.0,0.0,0
29.26,0.0,5.5,2.92,21.7,74.05,1.0,0.0,0
30.47,0.0,5.5,3.97,27.99,76.45,1.0,0.0,0
0.0,0.0,5.43,4.47,31.22,60.13,0.0,0.0,0
0.0,0.0,5.16,3.27,32.2,59.6,0.0,0.0,0
32.25,0.0,5.04,2.73,28.7,71.08,1.0,0.0,0
32.29,0.0,5.4,3.55,28.61,70.86,1.0,0.0,0
31.69,0.0,5.5,4.42,28.73,73.1,1.0,0.0,0
0.0,0.0,5.5,4.83,29.8,58.92,0.0,0.0,0
0.0,0.0,5.15,3.19,29.85,56.87,0.0,0.0,0
31.67,0.0,5.06,2.49,22.39,66.81,1.0,0.0,0
31.35,0.0,5.17,2.31,22.1,67.64,1.0,0.0,0
31.22,0.0,5.36,2.5,21.84,67.79,1.0,0.0,0
32.43,0.0,5.5,2.82,28.87,70.6,1.0,0.0,0
31.76,0.0,5.5,3.12,29.13,73.23,1.0,0.0,0
31.46,0.0,5.5,3.81,27.15,72.32,1.0,0.0,0
31.18,0.0,5.5,4.31,27.63,73.73,1.0,0.0,0
0.0,0.0,5.46,4.62,25.87,57.14,0.0,0.0,0
0.0,0.0,5.06,2.72,25.58,57.44,0.0,0.0,0
30.5,0.0,5.21,2.84,18.6,66.98,1.0,0.0,0
30.47,0.0,5.35,2.78,18.25,66.72,1.0,0.0,0
30.6,0.0,5.45,2.62,18.24,66.28,1.0,0.0,0
30.47,0.0,5.47,2.27,17.11,65.59,1.0,0.0,0
30.8,0.0,5.37,1.7,18.68,66.07,1.0,0.0,0
30.58,0.0,5.41,1.52,19.31,67.41,1.0,0.0,0
30.6,0.0,5.5,2.06,26.18,74.21,1.0,0.0,0
30.19,0.0,5.5,3.13,26.37,75.77,1.0,0.0,0
29.56,0.0,5.5,4.3,27.43,78.84,1.0,0.0,0
0.0,0.0,5.4,4.51,30.8,61.31,0.0,0.0,0
0.0,0.0,5.2,3.67,31.25,60.47,0.0,0.0,0
0.0,0.0,4.96,2.81,30.84,59.22,0.0,0.0,0
30.31,0.0,4.99,2.73,21.05,70.04,1.0,0.0,0
30.62,0.0,5.32,3.51,20.87,68.84,1.0,0.0,0
29.89,0.0,5.5,3.94,21.83,72.17,1.0,0.0,0
30.31,0.0,5.5,4.52,21.72,70.72,1.0,0.0,0
31.96,0.0,5.5,4.73,29.6,73.0,1.0,0.0,0
0.0,0.0,5.17,3.23,33.76,56.83,0.0,0.0,0
33.18,0.0,5.1,2.55,30.02,69.02,1.0,0.0,0
33.4,0.0,5.35,2.87,30.14,68.34,1.0,0.0,0
31.62,0.0,5.49,2.79,22.31,66.9,1.0,0.0,0
30.84,0.0,5.5,2.58,20.98,68.23,1.0,0.0,0
31.06,0.0,5.5,2.62,20.6,67.11,1.0,0.0,0
31.04,0.0,5.5,2.37,20.73,67.32,1.0,0.0,0
31.01,0.0,5.5,2.24,20.61,67.28,1.0,0.0,0
30.97,0.0,5.5,2.13,19.86,66.68,1.0,0.0,0
30.84,0.0,5.5,1.91,20.48,67.74,1.0,0.0,0
30.56,0.0,5.5,1.99,20.43,68.6,1.0,0.0,0
32.05,0.0,5.5,2.35,27.35,70.43,1.0,0.0,0
31.82,0.0,5.5,2.73,27.44,71.36,1.0,0.0,0
31.11,0.0,5.5,3.22,27.8,74.13,1.0,0.0,0
29.35,0.0,5.5,4.09,21.44,73.51,1.0,0.0,0
0.0,0.0,5.47,4.64,27.76,60.74,0.0,0.0,0
0.0,0.0,5.22,3.57,28.18,59.09,0.0,0.0,0
30.4,0.0,5.0,2.58,21.91,70.62,1.0,0.0,0
31.96,0.0,5.37,3.52,28.18,71.6,1.0,0.0,0
31.23,0.0,5.5,4.57,28.5,74.44,1.0,0.0,0
0.0,0.0,5.33,4.14,33.93,57.03,0.0,0.0,0
33.33,0.0,5.0,2.53,30.03,68.49,1.0,0.0,0
31.45,0.0,5.21,2.67,22.5,67.7,1.0,0.0,0
30.91,0.0,5.39,2.78,21.75,68.75,1.0,0.0,0
30.1,0.0,5.5,3.34,22.38,72.07,1.0,0.0,0
30.13,0.0,5.5,3.98,22.29,71.89,1.0,0.0,0
29.63,0.0,5.5,4.49,22.09,73.27,1.0,0.0,0
0.0,0.0,5.34,4.07,26.01,56.4,0.0,0.0,0
32.51,0.0,5.02,2.49,26.73,68.18,1.0,0.0,0
32.14,0.0,5.24,2.67,26.7,69.48,1.0,0.0,0
31.62,0.0,5.5,3.19,26.75,71.36,1.0,0.0,0
32.04,0.0,5.5,3.62,26.12,69.25,1.0,0.0,0
29.63,0.0,5.5,3.49,18.29,69.47,1.0,0.0,0
29.86,0.0,5.5,3.71,18.32,68.77,1.0,0.0,0
30.0,0.0,5.5,3.71,17.73,67.74,1.0,0.0,0
29.43,0.0,5.5,3.46,17.33,69.14,1.0,0.0,0
29.52,0.0,5.5,3.66,19.29,70.82,1.0,0.0,0
29.22,0.0,5.5,4.1,20.01,72.48,1.0,0.0,0
28.48,0.0,5.5,4.76,20.1,74.82,1.0,0.0,0
0.0,0.0,5.24,3.63,29.56,59.81,0.0,0.0,0
0.0,0.0,4.96,2.56,30.08,59.27,0.0,0.0,0
31.85,0.0,5.19,3.09,27.71,71.5,1.0,0.0,0
29.73,0.0,5.5,4.03,27.26,78.13,1.0,0.0,0
0.0,0.0,5.44,4.71,30.32,58.54,0.0,0.0,0
0.0,0.0,5.09,3.07,26.96,59.16,0.0,0.0,0
30.91,0.0,4.95,2.43,20.29,67.31,1.0,0.0,0
30.9,0.0,5.13,2.56,19.96,67.01,1.0,0.0,0
30.48,0.0,5.28,2.54,20.73,69.17,1.0,0.0,0
31.0,0.0,5.5,3.21,22.58,69.27,1.0,0.0,0
30.04,0.0,5.5,3.32,21.81,71.68,1.0,0.0,0
29.55,0.0,5.5,3.91,22.03,73.47,1.0,0.0,0
31.61,0.0,5.5,4.79,29.78,74.41,1.0,0.0,0
0.0,0.0,5.14,3.14,34.59,57.04,0.0,0.0,0
33.5,0.0,5.08,2.53,31.31,69.15,1.0,0.0,0
32.9,0.0,5.34,2.85,29.33,69.35,1.0,0.0,0
30.35,0.0,5.5,3.14,20.38,69.24,1.0,0.0,0
30.25,0.0,5.5,3.31,18.47,67.67,1.0,0.0,0
29.82,0.0,5.5,3.12,18.52,69.09,1.0,0.0,0
29.9,0.0,5.5,3.31,18.17,68.49,1.0,0.0,0
29.89,0.0,5.5,3.34,18.05,68.4,1.0,0.0,0
29.51,0.0,5.5,3.34,17.96,69.53,1.0,0.0,0
28.39,0.0,5.5,3.6,19.14,74.12,1.0,0.0,0
29.9,0.0,5.5,4.74,25.43,75.75,1.0,0.0,0
0.0,0.0,5.23,3.57,29.59,60.21,0.0,0.0,0
0.0,0.0,4.97,2.65,30.44,60.21,0.0,0.0,0
31.86,0.0,5.09,3.05,27.5,71.27,1.0,0.0,0
31.85,0.0,5.45,3.88,27.16,70.97,1.0,0.0,0
28.98,0.0,5.5,4.71,20.99,74.2,1.0,0.0,0
0.0,0.0,5.24,3.59,26.83,59.61,0.0,0.0,0
30.81,0.0,4.95,2.47,19.85,67.2,1.0,0.0,0
31.05,0.0,5.12,2.56,20.18,66.73,1.0,0.0,0
30.78,0.0,5.24,2.42,20.29,67.75,1.0,0.0,0
32.36,0.0,5.45,2.7,26.41,68.4,1.0,0.0,0
31.6,0.0,5.5,3.06,27.21,71.87,1.0,0.0,0
31.55,0.0,5.5,3.59,26.84,71.66,1.0,0.0,0
30.11,0.0,5.5,4.0,20.34,69.98,1.0,0.0,0
29.65,0.0,5.5,4.17,20.5,71.62,1.0,0.0,0
29.72,0.0,5.5,4.65,20.52,71.41,1.0,0.0,0
0.0,0.0,5.31,3.92,26.29,57.39,0.0,0.0,0
31.15,0.0,4.99,2.44,21.02,67.25,1.0,0.0,0
31.55,0.0,5.17,2.51,21.39,66.25,1.0,0.0,0
33.27,0.0,5.18,2.09,28.19,66.87,1.0,0.0,0
33.38,0.0,5.26,1.82,28.55,66.83,1.0,0.0,0
33.11,0.0,5.32,1.58,29.07,68.33,1.0,0.0,0
32.95,0.0,5.5,1.95,30.53,70.4,1.0,0.0,0
30.96,0.0,5.5,2.2,22.95,69.81,1.0,0.0,0
29.98,0.0,5.5,2.59,24.0,74.05,1.0,0.0,0
29.12,0.0,5.5,3.6,22.81,75.59,1.0,0.0,0
28.89,0.0,5.5,4.76,22.94,76.42,1.0,0.0,0
0.0,0.0,5.26,3.73,31.97,60.11,0.0,0.0,0
0.0,0.0,5.0,2.72,32.51,59.13,0.0,0.0,0
32.57,0.0,5.21,3.19,29.09,70.33,1.0,0.0,0
31.59,0.0,5.5,3.77,29.31,73.99,1.0,0.0,0
30.6,0.0,5.5,4.51,21.83,69.87,1.0,0.0,0
30.54,0.0,5.5,4.51,21.66,69.89,1.0,0.0,0
30.27,0.0,5.5,4.52,21.62,70.76,1.0,0.0,0
30.14,0.0,5.5,4.72,21.61,71.17,1.0,0.0,0
0.0,0.0,5.21,3.45,27.77,54.89,0.0,0.0,0
31.04,0.0,5.05,2.34,21.6,68.17,1.0,0.0,0
30.89,0.0,5.28,2.7,21.4,68.5,1.0,0.0,0
31.65,0.0,5.5,3.19,28.52,73.01,1.0,0.0,0
31.98,0.0,5.5,3.89,30.95,74.28,1.0,0.0,0
32.11,0.0,5.5,4.63,30.68,73.57,1.0,0.0,0
0.0,0.0,5.31,3.96,28.27,57.41,0.0,0.0,0
31.63,0.0,4.92,2.24,21.43,66.1,1.0,0.0,0
31.55,0.0,4.96,1.87,21.8,66.65,1.0,0.0,0
31.52,0.0,5.08,1.83,21.25,66.19,1.0,0.0,0
31.41,0.0,5.14,1.61,21.16,66.48,1.0,0.0,0
31.39,0.0,5.25,1.58,21.58,66.96,1.0,0.0,0
30.49,0.0,5.38,1.69,18.79,67.21,1.0,0.0,0
29.25,0.0,5.5,2.02,19.73,72.11,1.0,0.0,0
30.17,0.0,5.5,3.0,27.52,76.98,1.0,0.0,0
29.43,0.0,5.5,4.32,27.02,78.83,1.0,0.0,0
0.0,0.0,5.37,4.27,29.82,60.43,0.0,0.0,0
0.0,0.0,5.12,3.2,29.8,59.01,0.0,0.0,0
31.78,0.0,5.08,2.82,26.33,70.36,1.0,0.0,0
30.38,0.0,5.39,3.46,18.69,67.46,1.0,0.0,0
29.74,0.0,5.5,3.45,18.13,68.97,1.0,0.0,0
29.42,0.0,5.5,3.56,18.29,70.14,1.0,0.0,0
29.98,0.0,5.5,3.91,19.09,69.16,1.0,0.0,0
29.53,0.0,5.5,3.95,19.31,70.8,1.0,0.0,0
29.81,0.0,5.5,4.33,19.06,69.66,1.0,0.0,0
30.1,0.0,5.5,4.4,19.29,68.95,1.0,0.0,0
31.31,0.0,5.5,4.33,25.57,71.23,1.0,0.0,0
31.14,0.0,5.5,4.57,25.75,71.97,1.0,0.0,0
0.0,0.0,5.36,4.15,29.33,57.49,0.0,0.0,0
32.43,0.0,5.01,2.52,26.18,67.94,1.0,0.0,0
30.55,0.0,5.19,2.6,19.25,67.46,1.0,0.0,0
30.68,0.0,5.38,2.75,19.21,67.0,1.0,0.0,0
30.49,0.0,5.5,2.69,19.01,67.42,1.0,0.0,0
30.56,0.0,5.5,2.56,19.04,67.2,1.0,0.0,0
30.5,0.0,5.5,2.4,19.01,67.4,1.0,0.0,0
30.19,0.0,5.5,2.33,19.38,68.78,1.0,0.0,0
29.09,0.0,5.5,2.58,19.98,72.85,1.0,0.0,0
30.11,0.0,5.5,3.6,26.52,76.17,1.0,0.0,0
29.97,0.0,5.5,4.77,27.31,77.4,1.0,0.0,0
0.0,0.0,5.25,3.67,30.64,59.94,0.0,0.0,0
0.0,0.0,4.98,2.63,30.64,58.16,0.0,0.0,0
32.69,0.0,5.25,3.15,29.57,70.39,1.0,0.0,0
29.57,0.0,5.5,3.7,22.68,74.06,1.0,0.0,0
30.0,0.0,5.5,4.62,22.24,72.25,1.0,0.0,0
0.0,0.0,5.27,3.73,28.62,55.82,0.0,0.0,0
31.62,0.0,4.98,2.24,21.82,66.43,1.0,0.0,0
31.44,0.0,5.07,2.0,22.42,67.66,1.0,0.0,0
33.35,0.0,5.28,2.3,30.2,68.58,1.0,0.0,0
32.6,0.0,5.5,2.52,30.51,71.65,1.0,0.0,0
31.42,0.0,5.5,3.02,27.5,72.79,1.0,0.0,0
31.34,0.0,5.5,3.71,27.23,72.79,1.0,0.0,0
29.68,0.0,5.5,4.2,20.52,71.55,1.0,0.0,0
28.98,0.0,5.5,4.65,19.62,72.81,1.0,0.0,0
0.0,0.0,5.26,3.67,25.71,57.67,0.0,0.0,0
30.47,0.0,5.04,2.55,18.63,67.11,1.0,0.0,0
30.57,0.0,5.21,2.62,18.35,66.49,1.0,0.0,0
32.27,0.0,5.31,2.45,24.33,66.65,1.0,0.0,0
32.3,0.0,5.36,2.1,24.23,66.45,1.0,0.0,0
32.31,0.0,5.37,1.75,24.4,66.58,1.0,0.0,0
30.5,0.0,5.41,1.53,19.25,67.64,1.0,0.0,0
28.95,0.0,5.5,2.07,19.86,73.16,1.0,0.0,0
28.72,0.0,5.5,3.13,20.0,73.99,1.0,0.0,0
27.91,0.0,5.5,4.17,20.88,77.27,1.0,0.0,0
0.0,0.0,5.4,4.33,30.56,61.09,0.0,0.0,0
0.0,0.0,5.18,3.47,30.38,60.03,0.0,0.0,0
0.0,0.0,4.92,2.52,30.53,58.96,0.0,0.0,0
32.05,0.0,5.29,3.42,27.69,70.8,1.0,0.0,0
31.22,0.0,5.5,4.21,27.89,73.86,1.0,0.0,0
0.0,0.0,5.44,4.51,33.4,57.5,0.0,0.0,0
0.0,0.0,5.04,2.7,28.61,55.4,0.0,0.0,0
31.31,0.0,5.12,2.44,21.66,67.31,1.0,0.0,0
31.47,0.0,5.28,2.5,21.86,66.98,1.0,0.0,0
31.47,0.0,5.4,2.4,22.2,67.33,1.0,0.0,0
30.8,0.0,5.5,2.49,22.5,69.87,1.0,0.0,0
31.09,0.0,5.5,2.86,22.45,68.86,1.0,0.0,0
32.74,0.0,5.5,2.99,27.8,68.41,1.0,0.0,0
32.69,0.0,5.5,2.79,28.14,68.94,1.0,0.0,0
32.62,0.0,5.5,2.76,27.97,69.03,1.0,0.0,0
30.91,0.0,5.5,2.72,20.63,67.64,1.0,0.0,0
30.41,0.0,5.5,2.59,20.23,68.89,1.0,0.0,0
30.92,0.0,5.5,2.8,20.4,67.38,1.0,0.0,0
30.52,0.0,5.5,2.59,20.84,69.15,1.0,0.0,0
30.34,0.0,5.5,2.84,20.69,69.59,1.0,0.0,0
30.17,0.0,5.5,3.13,20.44,69.9,1.0,0.0,0
29.97,0.0,5.5,3.45,20.97,71.06,1.0,0.0,0
30.96,0.0,5.5,3.95,27.58,74.41,1.0,0.0,0
29.91,0.0,5.5,4.78,27.93,78.21,1.0,0.0,0
0.0,0.0,5.26,3.75,31.7,60.71,0.0,0.0,0
0.0,0.0,5.03,2.95,32.16,59.18,0.0,0.0,0
32.42,0.0,5.08,2.87,28.45,70.22,1.0,0.0,0
30.47,0.0,5.39,3.47,21.73,70.21,1.0,0.0,0
30.57,0.0,5.5,4.36,22.69,70.83,1.0,0.0,0
30.71,0.0,5.5,4.59,21.92,69.61,1.0,0.0,0
30.34,0.0,5.5,4.5,23.02,71.92,1.0,0.0,0
0.0,0.0,5.39,4.29,30.77,58.63,0.0,0.0,0
0.0,0.0,5.05,2.76,28.61,56.32,0.0,0.0,0
32.91,0.0,5.19,2.75,29.47,69.48,1.0,0.0,0
33.05,0.0,5.47,3.16,29.39,68.89,1.0,0.0,0
32.5,0.0,5.5,3.51,29.31,70.8,1.0,0.0,0
31.37,0.0,5.5,3.68,27.15,72.59,1.0,0.0,0
29.11,0.0,5.5,4.12,19.73,72.53,1.0,0.0,0
29.62,0.0,5.5,4.79,19.84,71.05,1.0,0.0,0
0.0,0.0,5.2,3.47,25.88,54.99,0.0,0.0,0
30.77,0.0,5.03,2.35,18.68,66.15,1.0,0.0,0
30.57,0.0,5.09,2.07,17.84,65.98,1.0,0.0,0
30.57,0.0,5.14,1.82,17.96,66.11,1.0,0.0,0
30.56,0.0,5.22,1.7,18.06,66.22,1.0,0.0,0
30.01,0.0,5.31,1.65,17.96,67.91,1.0,0.0,0
31.47,0.0,5.5,2.32,25.79,70.91,1.0,0.0,0
30.84,0.0,5.5,2.83,26.17,73.44,1.0,0.0,0
29.72,0.0,5.5,3.69,26.8,77.68,1.0,0.0,0
0.0,0.0,5.49,4.97,30.34,61.09,0.0,0.0,0
0.0,0.0,5.27,3.91,30.8,58.75,0.0,0.0,0
30.5,0.0,4.93,2.49,20.4,68.94,1.0,0.0,0
30.73,0.0,5.22,3.07,20.56,68.18,1.0,0.0,0
31.07,0.0,5.45,3.31,19.86,66.35,1.0,0.0,0
30.65,0.0,5.4,2.69,19.48,67.36,1.0,0.0,0
30.61,0.0,5.5,2.83,19.91,67.91,1.0,0.0,0
32.23,0.0,5.5,2.81,26.64,69.08,1.0,0.0,0
31.85,0.0,5.5,2.84,26.57,70.36,1.0,0.0,0
32.4,0.0,5.5,3.14,26.73,68.57,1.0,0.0,0
31.2,0.0,5.5,2.98,27.04,73.08,1.0,0.0,0
29.66,0.0,5.5,3.64,20.46,71.55,1.0,0.0,0
29.74,0.0,5.5,4.19,20.07,70.91,1.0,0.0,0
29.78,0.0,5.5,4.53,20.49,71.2,1.0,0.0,0
0.0,0.0,5.43,4.46,26.46,57.6,0.0,0.0,0
0.0,0.0,5.04,2.68,27.58,55.54,0.0,0.0,0
33.25,0.0,5.07,2.31,28.76,67.52,1.0,0.0,0
33.31,0.0,5.22,2.24,29.01,67.52,1.0,0.0,0
33.44,0.0,5.36,2.59,29.16,67.2,1.0,0.0,0
25.17,25.13,4.97,2.84,16.56,80.37,1.0,1.0,0
0.0,0.0,5.23,3.13,29.21,54.31,0.0,0.0,0
0.0,0.0,5.47,3.45,29.89,55.2,0.0,0.0,0
0.0,0.0,5.5,3.95,28.1,57.49,0.0,0.0,0
23.64,23.6,5.36,4.78,17.95,85.43,1.0,1.0,1
24.67,24.63,5.4,3.75,25.63,90.68,1.0,1.0,1
0.0,0.0,5.22,2.95,32.84,56.2,0.0,0.0,1
0.0,0.0,5.36,2.87,32.42,57.25,0.0,0.0,1
0.0,0.0,5.48,3.47,32.02,56.88,0.0,0.0,1
27.06,27.02,5.36,4.36,24.66,83.46,1.0,1.0,1
0.0,0.0,5.5,4.59,28.21,54.67,0.0,0.0,1
0.0,0.0,5.5,4.5,28.11,55.6,0.0,0.0,1
22.01,21.97,5.5,4.29,17.86,88.9,1.0,1.0,1
